Where are you ordinally placed in the line?	Pang-ilan ka sa pila?
Where are you ordinally placed in the line now?	Pang-ilan ka na sa pila?
Where is he ordinally placed in the line?	Pang-ilan siya sa pila?
Where is he ordinally placed in the line now?	Pang-ilan na siya sa pila?
Where is she ordinally placed in the line?	Pang-ilan siya sa pila?
Where is she ordinally placed in the line now?	Pang-ilan na siya sa pila?
Where are you ordinally situated in the line?	Pang-ilan ka sa pila?
Where are you ordinally situated in the line now?	Pang-ilan ka na sa pila?
Where is he ordinally situated in the line?	Pang-ilan siya sa pila?
Where is he ordinally situated in the line now?	Pang-ilan na siya sa pila?
Where is she ordinally situated in the line?	Pang-ilan siya sa pila?
Where is she ordinally situated in the line now?	Pang-ilan na siya sa pila?
I am the fifth person in line.	Ako ang ika-limang tao sa pila.
The fifth person in line is me.	Ang ika-limang tao sa pila ay ako.
What is the order of birth of you and your siblings?	Anong pagkasunudsunod ng kapanganakan niyong magkakapatid?
What is his ordinality of birth among his siblings?	Pang-ilan ba siya sa kanilang magkakapatid?
What is her ordinality of birth among her siblings?	Pang-ilan ba siya sa kanilang magkakapatid?
What is his ordinality of birth among your siblings?	Pang-ilan ba siya sa inyong magkakapatid?
What is her ordinality of birth among your siblings?	Pang-ilan ba siya sa inyong magkakapatid?
Where should you be ordinally situated?	Pang-ilan ka ba?
How many chickens have you had already?	Pang-ilang manok mo na iyan?
What is Rody's ordinality as president?	Pang-ilang presidente si Rody?
What should be the ordinality of my entrance?	Pang-ilan ba ako dapat lalabas?
There is no next time.	Wala nang susunod na beses.
One more time.	Isang beses pa.
How many times had this happened already?	Ilang beses na nangyari ito?
Little children.	Mumunting mga anak.
Knowing.	Maalam.
I asked.	Nagtanong ako.
Mother, your pears have fallen.	Nanay, ang iyong mga peras ay bumagsak.
But in those days.	Ngunit sa mga araw na yaon.
There was not even nothing, she said.	Wala kahit wala, sabi niya.
And he causes all.	At dinudulot niya ang lahat.
But the fearful.	Ngunit ang mga duwag.
109 meters per second.	Isang daan siyam na metro kada segundo.
123 meters per second.	Isang daan dalawampu't tatlong metro kada segundo.
234 meters per second.	Dalawang daan tatlumpu't apat na metro kada segundo.
345 meters per second.	Tatlong daan apatnapu't limang metro kada segundo.
400 dead and 200 are injured.	400 ang patay at 200 ang sugatan.
456 meters per second.	Apat na raan limampu't anim na metro kada segundo.
567 meters per second.	Limang daan animnapu't pitong metro kada segundo.
678 meters per second.	Anim na raan pitumpu't walong metro kada segundo.
789 meters per second.	Pitong daan walompu't siyam na metro kada segundo.
891 meters per second.	Walong daan siyamnapu't isang metro kada segundo.
912 meters per second.	Siyam na raan labindalawang metro kada segundo.
A bat is neither a bird nor a rat.	Ang paniki ay hindi ibon o daga.
A beautiful japanese, Miss Diaz!	Magandang hapon, Binibining Diaz!
a better life in the world's eyes.	Mas maayos na buhay sa mata ng mundo.
A binder clip has many uses.	Ang isang binder clip ay may maraming gamit.
A blur or noise and movement.	Ang isang lumabo o ingay at paggalaw.
A bucket full of water.	Isang baldeng puno ng kumukulong tubig.
A bus is hurling towards the school.	Isang bus ang paparating sa paaralan.
A campus tradition on day 1.	Isang campus tradition sa unang araw.
A century is one hundred years.	Ang isang siglo ay isang daang taon.
A contented consumer is a happy one.	Ang kuntentong mamimili ay masaya.
A day consists of many hours.	Ang isang araw ay binubuo ng maraming oras.
A day of execution was a fiesta.	Kapistahan ang araw ng isang pagbitay.
A detective talked to me.	Isang tiktik ang nakipag-usap sa akin.
A dog followed me to my school.	May asong sumunod sa akin sa paaralan.
A dog suddenly jumped at me.	May asong biglang dumamba sa akin.
A dog was run over by a truck.	Isang aso ang nasagasaan ng trak.
A driver was sleeping in the car.	Tumutulog ang tsuper sa kotse.
A few centuries have already passed.	Ilang siglo na ang nakalipas.
A few days later he fell ill.	makalipas ang ilang araw ay nagkasakit siya.
A few decades have already passed.	Ilang dekada na ang nakalipas.
A few millennia have already passed.	Ilang milenyo na ang nakalipas.
A few minutes have already passed.	Ilang minuto na ang nakalipas.
A few months have already passed.	Ilang buwan na ang nakalipas.
A few seconds have already passed.	Ilang segundo na ang nakalipas.
A few weeks have already passed.	Ilang linggo na ang nakalipas.
a format that is easy to understand.	isang kaayusan na madaling maunawaan.
A friendly frog appears.	Isang mabait na palaka ang nagpakita.
A funny example: in John 3:21.	Isang nakakatawang halimbawa: Juan 3:21.
A glass desk would look elegant.	Ang salaming mesa ay magmumukhang elegante.
A good day for harvesting.	Isang napakagandang araw para umani.
A good idea occurred to me just then.	May magandang ideya akong naisip noon.
A home is more than a mere building.	Ang bahay ay hindi lang basta gusali.
A horse saves them from death.	Niligtas sila ng kabayo mula sa kamatayan.
A host of friends came to see me off.	Marami sa kaibigan ko ay hinatid ako.
A Japanese would never do such a thing.	Hindi gagawin 'yan ng isang Hapon.
A jellyfish is controlling the bus.	Kontrolado ng dikya ang bus.
A little more to go and we're done.	Kaunti na lang at matatapos na tayo.
A long drive is about four hours.	Ang isang mahabang byahe ay apat na oras.
A lot are falling asleep in their chairs.	Maraming nakakatulog sa upuan nila.
A lot can be done in the island.	Maraming pwedeng gawin dito sa isla.
A lot of bears see lightning.	Maraming oso ang nakakita ng kidlat.
A lot of fishes are not strong.	Maraming isda ang hindi malakas.
A lot of frogs are not strong.	Maraming palaka ang hindi malakas.
A lot of goats see lightning.	Maraming kambing ang nakakita ng kidlat.
A lot of guns will help in the war.	makakatulong ang maraming baril sa giyera.
A lot of horse do play in the mud.	Maraming kabayo ang naglalaro sa putikan.
A lot of items are inside the game.	Maraming bagay ang nasa loob ng laro.
A lot of jellyfishes can be seen.	Maraming dikya ang nakikita.
A lot of people saw the match.	Maraming tao ang nakapanood ng laban.
A lot of sharks saw the training.	Maraming pating ang nakakita sa pagsasanay.
A lot of shrimp do play in the mud.	Maraming hipon ang naglalaro sa putikan.
A man came to see me yesterday.	nilapitan ako ng lalaki upang kitain kahapon.
a new generation of teens.	sa bagong henerasyon ng mga kabataan.
A new perspective may be formed.	Maaaring mabuo ang isang bagong pananaw.
A perfect day for a picnic.	Ito'y perpektong araw para sa picnic.
A promise of basketball was lost.	Nawala ang isang pangako sa basketbol.
A reaction that is called love.	Ang reaksyong tinatawag na pag-ibig.
A rich Spaniard took it.	Inagaw ito ng isang mayamang Kastila.
A rival carabao appears.	Nagpakita ang isang karibal na kalabaw.
A river runs down through the valley.	Ang ilog ay dumadaloy papuntang lambak.
A school scouted the chick.	Ini-scout ng isang paaralan ang sisiw.
A school scouted the dog.	Ini-scout ng isang paaralan ang aso.
A scream will dribble down the air.	Isang pagsigaw ang tatagas sa hangin.
A ship sank near here yesterday.	may lumubog na barko malapit dito kahapon.
A short drive is about one hour.	Ang isang maikling byahe ay isang oras.
A shrimp saves them from death.	Niligtas sila ng hipon mula sa kamatayan.
a spirit or even by a letter as from us.	pamamagitan man ng espiritu.
A stranger phoned me yesterday.	tinawagan ako ng hindi ko kakilala kahapon.
A strong wind blew all day long.	Malakas ang hangin buong araw.
A tall cat shot a three pointer.	Isang matangkad na pusa ang pumasok ng tres.
A truck was careering along the road.	May isang trak na kumakarera sa daan.
A wavy hair that can make me stare.	Ang buhok na kaya akong patitigin.
A wireless camera atop a helicopter.	Helicopter na may wireless camera.
A year ago he was so poor.	Noong nakaraang taon ay sobrang hirap niya.
about his servant Job.	tungkol sa Kanyang tagapag-lingkod na si Job.
Accept this humble offering.	Tanggapin nyo ang abang handog namin.
Accidents arise from carelessness.	Ang aksidente ay bunga ng kawalang-isip.
according to 1 Thessalonians chapter 4.	ayon sa 1 Thessalonians kapitulo 4.
Accounting is rigorous work.	Ang accounting ay mabusising trabaho.
Add chocolate to your milk.	Lagyan mo ng tsokolate ang iyong gatas.
Adventure is calling for us.	Tinatawag tayo ng pakikipagsapalaran.
After breakfast, we went for a walk.	Pagkatapos ng almusal, naglakad kami.
After one hour, we were found.	Makalipas ang isang oras, nakita rin kami.
After the chicken opened the book.	Pagkatapos buksan ng manok ang libro.
After the game they can go home.	Pagkatapos ng laro ay maaaring umuwi.
After the jellyfish opened the book.	Pagkatapos buksan ng dikya ang libro.
Afternoon of December 11.	Hapon ng ika-labing-isa ng Disyembre.
Afternoon of December 12.	Hapon ng ika-labindalawa ng Disyembre.
Afternoon of December 13.	Hapon ng ika-labintatlo ng Disyembre.
Afternoon of December 14.	Hapon ng ika-labing-apat ng Disyembre.
Afternoon of December 16.	Hapon ng ika-labing-anim ng Disyembre.
Afternoon of December 19.	Hapon ng ika-labingsiyam ng Disyembre.
Afternoon of December 21.	Hapon ng ika-dalawampu't isa ng Disyembre.
Afternoon of December 22.	Hapon ng ika-dalawampu't dalawa ng Disyembre.
Afternoon of December 23.	Hapon ng ika-dalawampu't tatlo ng Disyembre.
Afternoon of December 24.	Hapon ng ika-dalawampu't apat ng Disyembre.
Afternoon of December 25.	Hapon ng ika-dalawampu't lima ng Disyembre.
Afternoon of December 26.	Hapon ng ika-dalawampu't anim ng Disyembre.
Afternoon of December 27.	Hapon ng ika-dalawampu't pito ng Disyembre.
Afternoon of December 28.	Hapon ng ika-dalawampu't walo ng Disyembre.
Afternoon of December 29.	Hapon ng ika-dalawampu't siyam ng Disyembre.
Afternoon of November 11.	Hapon ng ika-labing-isa ng Nobyembre.
Afternoon of November 12.	Hapon ng ika-labindalawa ng Nobyembre.
Afternoon of November 13.	Hapon ng ika-labintatlo ng Nobyembre.
Afternoon of November 14.	Hapon ng ika-labing-apat ng Nobyembre.
Afternoon of November 16.	Hapon ng ika-labing-anim ng Nobyembre.
Afternoon of November 19.	Hapon ng ika-labingsiyam ng Nobyembre.
Afternoon of November 21.	Hapon ng ika-dalawampu't isa ng Nobyembre.
Afternoon of November 22.	Hapon ng ika-dalawampu't dalawa ng Nobyembre.
Afternoon of November 23.	Hapon ng ika-dalawampu't tatlo ng Nobyembre.
Afternoon of November 24.	Hapon ng ika-dalawampu't apat ng Nobyembre.
Afternoon of November 25.	Hapon ng ika-dalawampu't lima ng Nobyembre.
Afternoon of November 26.	Hapon ng ika-dalawampu't anim ng Nobyembre.
Afternoon of November 27.	Hapon ng ika-dalawampu't pito ng Nobyembre.
Afternoon of November 28.	Hapon ng ika-dalawampu't walo ng Nobyembre.
Afternoon of November 29.	Hapon ng ika-dalawampu't siyam ng Nobyembre.
Afternoon of October 21.	Hapon ng ika-dalawampu't isa ng Oktubre.
Afternoon of October 22.	Hapon ng ika-dalawampu't dalawa ng Oktubre.
Afternoon of October 23.	Hapon ng ika-dalawampu't tatlo ng Oktubre.
Afternoon of October 24.	Hapon ng ika-dalawampu't apat ng Oktubre.
Afternoon of October 25.	Hapon ng ika-dalawampu't lima ng Oktubre.
Afternoon of October 26.	Hapon ng ika-dalawampu't anim ng Oktubre.
Afternoon of October 27.	Hapon ng ika-dalawampu't pito ng Oktubre.
Afternoon of October 28.	Hapon ng ika-dalawampu't walo ng Oktubre.
Afternoon of October 29.	Hapon ng ika-dalawampu't siyam ng Oktubre.
Afternoon of September 11.	Hapon ng ika-labing-isa ng Septyembre.
Afternoon of September 12.	Hapon ng ika-labindalawa ng Septyembre.
Afternoon of September 13.	Hapon ng ika-labintatlo ng Septyembre.
