When it happens.	Kung magkagayon.
It's not cold outside, there's not even nothing.	Hindi malamig sa labas, wala kahit wala.
I come in the name of my Father.	Naparito ako sa pangalan ng aking Ama.
Not every one that says.	Hindi ang bawat nagsasabi sa akin.
Therefore rejoice.	Kaya't mangagalak kayo.
And she gave birth to a male child.	At siyay nanganak ng isang anak na lalake.
And they did not win.	At hindi sila nanalo.
And slammed the great dragon was.	At inihagis ang malaking dragon.
And the kings of the earth.	At ang mga hari ng lupa.
Who will say that he is Jesus Christ.	Na sasabihing siya si Hesu Kristo.
You don't have to give him booms.	Hindi mo kailangang biyan siya ng mga dagundong.
10,000 pesos was debited to her account.	Tinanggal ang 10,000 piso sa kanyang account.
100 won't bribe even a traffic cop.	Hindi masusuhulan ng 100 kahit pulis trapiko.
100 years is called a century.	Ang isang daang taon ay tinatawag na isang siglo.
85% of the community are Catholics.	Walompu't limang porsiyento sa komunidad ay Katoliko.
A ant can have many spirits.	Ang langgam ay maaring magkaroon ng maraming espiritu.
A baby deer emerges from the deer's body.	Lumabas ang isang batang usa sa katawan ng usa.
A bat is no more a bird than a rat is.	Ang paniki ay hindi katulad ng ibon o daga.
A beautiful lake lay just beyond the forest.	Isang magandang lawa'y nasa dako paroon ng gubat.
A big tree in the field was struck by lightning.	Kinidlatan ang malaking puno sa bukid.
A bucket full of mucus at room temperature.	Isang baldeng puno ng uhog sa temperatura ng kuwarto.
A burning meteoroid produces a meteor.	Ang nasusunog na meteoroid ay naglilikha ng meteor.
A cell is divided into two cells.	Nahahati ang isang selula sa dalawang selula.
A chicken goes to one side of the city.	Ang isang manok ay pumunta sa isang sulok ng siyudad.
A child with coronary problems came earlier.	dumalaw kanina dito ang batang may problema sa mata.
A color will be perched on my shoulder.	May isang kulay na dadapo sa aking balikat.
A comeback for the cat's team was set.	Isang pagbabalik ang naghihintay sa koponan ng pusa.
A comeback for the chick's team was set.	Isang pagbabalik ang naghihintay sa koponan ng sisiw.
A couple of days together is appealing.	ang ilang araw na magkasama tayo ay kaakit-akit.
A crowd collected to watch the fight.	Ang madla ay nagtipon para panoorin ang laban.
A cucumber is related to a watermelon.	Ang pipino ay may pagkakatulad sa pakwan.
A day later, the system will ask.	makalipas ang isang araw tatanungin na sila ng administrasyon.
A day later, the system will ask.	makalipas ang isang araw, tatanungin na sila ng administrasyon.
A day or two, then bliss unspoilt.	isa o dalawang araw at saka nawala ang kaligayahan.
A day will come when we will move.	Darating din ang araw kung kailan tayo ay aaksyon.
A dissolution of certain neighborhoods.	Ang paglusaw ng ilang mga kapitbahayan.
A dollar is equal to a hundred cents.	Ang isang dolyar ay katumbas ng isang daang sentimo.
A dry mouth is caused by lack of saliva.	Ang tuyong bibig ay sanhi ng kakulangan ng laway.
A fairly large number of local people had come.	Marami-raming mga katutubo ang nagsidalo.
A few days afterward the man came again.	Ilang araw matapos ay bumalik nanaman ang lalaki.
A few minutes later another horse came by.	pagkatapos ng ilang minuto ay dumating na ang kabayo.
A few minutes later the nurse came in.	Pagkalipas ng ilang minuto, pumasok ang nars.
A few minutes later the nurse came in.	ilang minuto ang nakalipas ay pinapasok na sila ng nars.
A few people clapped after his lecture.	May ilang taong pumalakpak pagkatapos ng kanyang lecture.
A few weeks ago we were only friends.	noong ilang linggo ay magkaibigan lamang tayo.
A free-spirited bird had landed in their nest.	Isang malayang ibon ang lumapag sa pugad nila.
A friend of mine is studying abroad.	Ang kaibigan ko ay nag-aaral sa ibang bansa.
